Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
31,ربيع سنين,أحمد فكرون,,الكلمات غير موجودة,فرج المذبل,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/vSpwY
32,اه يا اسكندرية,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/EH8DE
33,انتظار,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/p1mJ5
34,بعد الفراق,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/HYuEd
35,تمر أيام و تمر سنين,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/LmWzj
36,صياد و رامي شبكتي,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/9i1i8
37,عابر يا زمان,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/7w9fZ
38,عالم ثاني,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/z7rZp
39,على حنيني,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/hhBZ2
40,عيون الحور,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/MCq8u
41,في المدن الكبيرة,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/Sdhyq
42,قلتي النوم هرب من عيني,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/zrxT3
43,كلمات حب,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/r9qDa
44,لبنان يا لبنان,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/PU64Z
45,ليل السهرانين,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/Lg3LX
46,ليل العاشقين,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,لا بأس,https://on.soundcloud.com/SpkpG
47,ليل الغريب,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/VkGzF
48,نورس يا حر,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/pH3qU
49,يا بياع الهوى,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/2BuFy
50,يا سلام ع الحب,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/PsnEN
51,يا شمس يا شموسة,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/Qzmsw
52,يا ليل سلفني القمر ليلة,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,غير كامل,https://on.soundcloud.com/m9RQu
53,يا ليل ليّل,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/EfAuF
54,يا نهار,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/aaqFt
55,يافرحي بيك,أحمد فكرون,,الكلمات غير موجودة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/LuHoi
56,مانمشيله ميعاد مانك فيه,أشرف محفوظ,"ما نمشى له ميعاد مانك فيه ما نمشي له 
ما نمشي له جلسه بلاك إتكون ماى جميله 
ونقل  الغالى نا كيف ما إيقولون
مكانك مالى ميعاد مانك فيه 
خارب خالى فيه الخيانه قايمه الليله
ميعاد مانك فيه ما نمشيله 
وحتى بسبله ميعاد مانك فيه 
وما نتعب له لو موال ما يغنيه
ما نطرب له إنعاف العلم والكشك والطبيله
ما نمشى له ميعاد مانك فيه ما نمشي له 
ما نمشي له جلسه بلاك إتكون ماى جميله 
ماله معنى ميعاد مانك فيه 
ما يجمعنا من نسمعوا لو غبت 
من يسمعنا ومن ينقله حملك ويعدل ميله 
ميعاد مانك فيه 
ما نمشى له ميعاد مانك فيه ما نمشي له 
ولا لا لالا لا ما نمشي له 
أنا البرانى  ميعاد مانك فيه 
مش مكانى إنت الونس وإنت 
الحبيب الدانى لا إتغيبك ع العين 
ع العين يا أبو العيله 
وميعاد مانك فيه ما نمشى له 
ما نمشى له ميعاد مانك فيه ما نمشي له 
ما نمشي له جلسه بلاك إتكون ماى جميله ",مكتوبة كاملة,,,تراث,AshrafMahfoud.jpg,غير معروف,لا يوجد,https://on.soundcloud.com/UJmbW8xvw1FfhTdV8
57,يالخيمة,المجموعة,,الكلمات غير موجودة,عبدالله منصور,محمد حسن,تراث,MohammedHasan.jpg,غير معروف,لا يوجد,
58,سهران الليل أنا وعودي,حسن عريبي,"سهران الليل أنا وعودي ودموعي تسيل على خدودي
سهران الليل متعذب أنا والعود وألحاني
والناس يقولو ؟تكذب؟   وحال الحلو ينساني
مسكت العود بيديا وبكيت من كثر أحزاني
جماله بين عينيا وخياله يغني بألحاني
يفرح القلب بقدومه وتكفي دمع يا عيني
تقول البدر ونجومه حبيبي الليلة بيجيني",مكتوبة كاملة,,,طرب ليبي,HassanArebi.jpg,غير معروف,جيد,https://on.soundcloud.com/p3GmK
59,في غلطتك سامحتك,حسن عريبي,"في غلطتك سامحتك من وسط قلبي بنيه وبعد الخصام صالحتك ياللي عزيز عليا
انا مسامحك وصفينا :: فات الغلط ونسينا
نجدد الغرام خلينا :: لا تتبع الفتنية
لولا الخبر والفتنة :: ماتنقطع سيرتنا 
مش يوم في عشرتنا :: دونه الحياة مبينة
أنا مسامحك يا منايا :: يا ونستي ومشكايا
خليك دوم معايا :: مافيه يوم خطيّه
نريد ننسوا الماضي :: سد الكلام الفاضي
ويكون قلبك راضي :: ولا يصد على الوجدية
أنا مسامحك سامحني :: وبذمتك عاهدني
وقول ماتخالني :: ولا يفتونك عليا",مكتوبة كاملة,محمد المريمي,حسن عريبي,طرب ليبي,HassanArebi.jpg,1959,جيد,https://on.soundcloud.com/ZVZq6
60,يا فلاح,حسن عريبي,"موال:
دموعي تسيل على خدي، وقلبي يخبي ويداري، ياناس أنا من قدي
أغنية
ندعو لك مساء وصباح :: ربي يعينك يافلاح
يا فلاح الناس فرحانة :: يا راوي الأرض العطشانة
زيتونة ونخلة ورمانة مشماش وعنب وتفاح
ندعو لك مساء وصباح :: ربي يعينك يافلاح
يا فلاح أفرح وتهنى :: أرضك خضراء مثل الجنة
أزرع تحصد ما تتمنى :: باش يبقى قلبك مرتاح",مكتوبة كاملة,,,طرب ليبي,HassanArebi.jpg,غير معروف,جيد,https://on.soundcloud.com/HM3dG
61,علي ضاوي جبينه,خالد الزواوي,هالة و تسليمة على ضاوي جبينه,مطلع الأغنية/رأس البيت فقط,,,تراث,KhaledZwawi.jpg,غير معروف,لا يوجد,
