Entry ID,Entry Number,Entry Name,Entry Type,Entry Rhythm,Entry Lyrics,Note Image Name,Type Entry Image
MLF-33-ISB-MRB,33,الهوى اضنى فؤادي,الإصبعين,مربع,"الهوى أضنى فؤادي وبرى جسمي السّقام :: وتزايد بي الغرام
ياترى يدنو مرادي وأرى بدر التّمام :: لاح من تحت الغمام
قد جفى جفني رقادي وغدى جافي المنام :: ودموعي في إنسجام
فمتى يصفو مرادي وحبيبي في انتظام :: يجلو لي شمس المدام
أيّها الميّاس لينًا بالقوام الأهيف :: جدلصبّ مدنف
كفّ عن مضناك عينًا برحت بالمرهف :: دأبها لم تنصف
نبلها الفتّاك فينا في فؤادي مختفي :: راشقا بالمضعف
فالى كم ذا التّمادي كن مجيري ياغلام :: وأنعطف للمستهام
لو رعى يومًا ودادي لشفى منّي السّقام :: منيتي حلو الكلام
فتفضل يامرادي لمعذّب فيك هام :: وهو لايخشى الملام
يرتجي يوم الميعاد من يضلله الغمام :: شافعًا يوم الزحام",MLF-33-ISB-MRB.png,ISB.PNG
MLF-34-ISB-MRB,34,اهوى الغزال,الإصبعين,مربع,"أهوي الغزال الرّبربي باهي الجمال
حلو المراشف سكّري ريقو حلال
أحور حوى كلّ المحاسن والدّلال
إذا تبدّى ينجلي فاق الهلال
ياعاذلي أقصر ملامك عن غزالي
ماللعواذل في هوى روحي ومالي
حبّي أدر كاسي وعاطني المدامه
من كفّ أهيف سمهري يحلو كلامه
إن طال هجره ذا الغزال يا الله السّلامه
بدري على بدر التمام زاد إحترامه",MLF-34-ISB-MRB.png,ISB.PNG
MLF-35-ISB-MRB,35,يامعشوق ما قصدك,الإصبعين,مربع,"يامعشوق ماقصدك بهجرك تزيد
عقلي اليوم في يدّك أفعل ماتريد
أنا اليوم في يدّك عبد ممتلك
جميع السّحر في عينك خدني في شرك
مال الغصن من قدّك جسمك فريد عقلي اليوم في يدّك إفعل ماتريد
يامعشوق ياملاك ياضياء القمر
أنت حينما نراك لم نزل صابر
جلّ من أنشاك فتنة للبشر
يا ما أقسى قلبك من حديد عقلي اليوم في يدّك إفعل ماتريد",MLF-35-ISB-MRB.png,ISB.PNG
MLF-36-RSD-MSD,36,أدري,الرصد,مصدّر,"أدري يا من ليس يدري :: الحب شيء عظيم
أنا حبيبي في صدري :: في وسط قلبي مقيم
مولاي لا تفضح أمري :: محيّ العظام الرميم
وأحياني بعد أن أفناني :: وسقاني خمرًا عتيق
حتى جميع من يراني :: يقول مسكين عشيق 
أنا جرت لي غرايب :: نحكي لكم تعذروني
رحلوا عنّي الحبايب :: والله العظيم أوحشوني
شعلوا في قلبي لهايب :: والدمع جرح جفوني
خلوني هايم وفاني :: صابر على ما نطيق
حتى جميع من يراني :: يقول مسكين عشيق",MLF-36-RSD-MSD.png,RSD.PNG
MLF-37-RSD-MSD,37,أطلت الهجر,الرصد,مصدّر,"أطلت الهجر يا بدري :: على من زاد في الأشواق
بسهم اللحظ كم ترمي :: ولم تخطي أكباد العشّاق
بحالي أنت لو تدري :: ما قد حلّ بالمشتاق
فزرني وأغتنم أجري :: فإنّي باقي على أخلاقي
لو زرتني حلّ الهنا :: وفاضت بالدّموع مآقي",MLF-37-RSD-MSD.png,RSD.PNG
MLF-38-RSD-MSD,38,إن جزت على الأوطان,الرصد,مصدّر,"إن جزت على الأوطان :: عن قامة البان
سلّم على الفتّان :: أوّل وزيد ثاني
وقل له الأمان :: نمسي خديم فاني
وصف له جمع الشّجون هاجت محوني
حبّي كحيل العيون غاب عن عيوني
عن نغمة الأسحار :: يا ساقي فاسقيني
في كاس من بلّار :: يا ذابل الرّمقي
من خمرة تصفار :: تطفي لهيب عشقي
وصف له جمع الشّجون هاجت محوني
حبّي كحيل العيون غاب عن عيوني",MLF-38-RSD-MSD.png,RSD.PNG
MLF-39-RSD-MSD,39,آه على ما فات لو كان ينفع,الرصد,مصدّر,"آه على ما فات لو كان ينفع
في عشقة الخودات قلبي تولّع
يا ليت ذوك الأوقات بالوصل ترجع
وراحة الأرواح بالعود تطرب
يا سادة عقلي راح من بعد الأحباب
في كلّ يوم نذوب يزداد كربي
من فرقة المحبوب قد هام قلبي
أنا بيه متعوب نشكي لربّي
ومن شكا يرتاح إذا كان مصاب
يا سادة عقلي راح من بعد الأحباب
من فارق الأحباب حالو كحالي
هايم وقلبي ذاب والجسم بالي
آه ولا من جاب دوك الليالي
وتعود لي الأفراج بحبّي الذي غاب
يا سادة عقلي راح من بعد الأحباب",MLF-39-RSD-MSD.png,RSD.PNG
MLF-40-RSD-MSD,40,آه على ما فات نار الحشا وقود,الرصد,مصدّر,"آه على ما فات نار الحشا وقود :: هيهات هيهات زمن مضى يعود
هيهات يرجع زماننا إلينا :: والشّمل يجمع فيما مضى علينا
والبدر يطلع من أفقه مبينا
هيهات زمن فات :: يرجع لنا باثبات :: ونغموا اللذات",MLF-40-RSD-MSD.png,RSD.PNG
MLF-41-RSD-MSD,41,إن الهوى,الرصد,مصدّر,"إن الهوى قد ملك فؤادي :: بالله بالهجر لا تزيد
إن متّ بالهجر يا غزالي :: أموت في عشقك شهيد
أنظر لحالي وما جرالي الحبّ كم ذلّ من أسود
ينبيك حالي عن السؤال رق لحالتي الحسود
لكنّي أصبر ولا أبالي اللناس في عشقهم سعود
حرّمن بين البشر رقادي :: لمّا علمت أن اللقاء بعيد
وقد تألمت وطال سهادي :: وخفت من كثرة الوعيد
مهما نرى قدّك النزيه نخضع ونرعى لك الدمّام
وساعة لا أراك فيها هي عليّ كألف عام
ياسيدي مالك شبيها بالله لا تمنع السّلام
بالحبّ سألتك وبالوداد :: مع بهاء زينك الفريد
زرني ولا تشمت الأعادي :: ورفقًا يا سيدي كن لبيب",MLF-41-RSD-MSD.png,RSD.PNG
MLF-42-RSD-MSD,42,بشرى هنية,الرصد,مصدّر,"بشرى هنيّة زارني المحبوب من بعد النفار 
وأعطف عليّ محبوبي سلطان الصّغار
يخدم لي سعدي بالأنس والعيش الخصيب
قد كنت وحدي واليوم مجموع بالحبيب
واللي في قصدي نلتو على غيض الرّقيب",MLF-42-RSD-MSD.png,RSD.PNG
